model_name,pr,rltcre,rlut,rst,rstcre,rt,ta-200,ta-850,tas,tauu,tauv,ua-200,ua-850,va-200,va-850,zg-500
GFDL-CM2p1,0.237,-2.189,-3.320,-0.322,-1.439,-0.109,-1.169,-1.042,-0.322,-0.009,-0.004,-0.852,-0.579,0.019,-0.016,-42.668
GFDL-CM3,0.307,-2.137,-2.539,-1.067,-1.702,-0.103,-0.947,-1.095,-0.669,-0.010,-0.004,0.604,-0.463,0.110,-0.047,-33.369
GFDL-ESM2G,0.290,-7.204,-4.704,-1.083,-1.723,-0.085,-1.325,-1.364,-0.642,-0.010,-0.004,-0.819,-0.551,0.046,-0.028,-47.261
GFDL-ESM2M,0.308,-7.000,-2.382,-1.192,-2.726,-0.527,-1.070,-0.936,-0.592,-0.005,-0.001,-0.540,-0.526,0.051,-0.032,-38.596
GISS-E2-H-CC,0.532,-7.228,-1.628,2.516,2.877,-0.020,-1.303,-0.130,-0.097,-0.005,-0.001,0.843,-0.435,0.037,0.009,-27.909
GISS-E2-H,0.536,-7.257,-0.490,0.934,3.859,-0.436,-1.644,0.084,0.781,-0.001,-0.001,0.239,-0.526,0.037,0.004,-25.627
GISS-E2-R-CC,0.499,-4.827,-0.213,1.085,3.369,-0.326,-1.093,-0.402,1.155,-0.001,-0.001,1.657,-0.199,-0.022,0.034,-37.562
GISS-E2-R,0.498,-1.152,-0.964,4.099,6.482,0.343,-1.144,-0.443,0.520,-0.008,-0.003,1.644,-0.207,-0.029,0.035,-38.262
HadCM3,0.223,-2.253,-0.998,-2.600,-4.426,0.095,-2.503,-0.349,0.484,-0.003,-0.001,1.169,-0.252,0.089,-0.025,-43.141
HadGEM2-AO,0.417,-1.598,-0.665,-0.923,-4.724,0.212,-1.606,-0.041,-0.864,-0.004,-0.001,0.343,-0.093,0.140,-0.046,-7.283
HadGEM2-CC,0.356,-5.243,2.536,-0.267,-2.463,-0.311,-1.747,-0.837,0.020,-0.004,-0.001,-0.360,-0.137,0.128,-0.038,-27.302
HadGEM2-ES,0.382,4.825,1.370,-1.011,-1.801,-0.065,-1.963,-0.621,-0.844,-0.002,-0.000,-0.071,-0.150,0.120,-0.039,-21.068
inmcm4,0.479,5.821,1.411,-4.449,-7.123,0.539,-0.106,-0.405,-0.542,-0.007,-0.003,-1.500,-0.465,0.063,-0.096,-25.493
IPSL-CM5A-LR,0.037,1.724,3.755,-7.019,-6.778,-3.439,-2.630,-1.497,-0.654,-0.006,-0.002,2.221,-0.521,0.013,-0.025,-55.702
IPSL-CM5A-MR,0.117,2.136,-2.695,-6.912,-6.798,-3.360,-1.338,-0.532,-1.349,-0.007,-0.004,2.085,-0.474,-0.010,-0.027,-32.454
IPSL-CM5B-LR,0.124,-0.053,-1.135,-3.054,-1.043,0.216,-2.694,-1.032,-0.566,0.003,-0.002,1.481,-0.268,0.095,-0.040,-52.924
MIROC4h,0.270,-3.269,0.045,-1.044,0.861,0.243,-2.864,0.991,-0.761,-0.010,-0.003,2.339,0.496,-0.006,-0.029,1.892
MIROC5,0.523,-3.013,-0.947,-2.891,-1.075,0.344,-3.802,-0.629,0.363,-0.004,-0.001,0.033,-0.579,-0.037,0.012,-4.621
MIROC-ESM-CHEM,0.094,-1.199,-4.988,-6.200,-7.075,1.668,-3.729,-0.765,0.549,-0.004,-0.001,0.924,-0.313,-0.034,-0.010,-23.321
MIROC-ESM,0.109,-2.508,-3.581,-5.663,-7.436,1.620,-3.441,-0.632,-0.496,-0.001,-0.000,1.039,-0.314,-0.051,-0.001,-22.361
