model_name,pr,rltcre,rlut,rst,rstcre,rt,ta-200,ta-850,tas,tauu,tauv,ua-200,ua-850,va-200,va-850,zg-500
GISS-E2-H-CC,0.912,-5.510,-1.099,-0.491,1.301,-6.597,-0.059,-0.099,-0.526,-0.005,-0.006,2.118,-0.272,0.062,-0.020,-32.933
GISS-E2-H,0.876,-5.538,-2.611,-3.274,1.658,-7.465,-0.513,-0.246,1.030,-0.005,-0.004,1.599,-0.180,0.078,-0.028,-38.581
GISS-E2-R-CC,0.890,-5.174,-3.048,-2.497,1.956,-7.296,0.144,-0.131,0.921,-0.004,-0.004,3.025,-0.025,-0.055,0.018,-33.191
GISS-E2-R,0.892,-3.130,-2.873,1.759,6.000,-4.160,0.079,-0.176,1.006,-0.001,-0.003,3.079,-0.023,-0.067,0.019,-34.194
HadCM3,0.526,-3.768,-2.897,3.876,3.804,0.569,-0.935,0.161,0.963,0.001,-0.001,1.338,-0.400,0.146,-0.072,-37.035
HadGEM2-AO,0.660,-3.667,2.508,5.127,3.377,0.039,-1.322,-0.335,-0.038,0.002,-0.001,1.194,0.039,0.254,-0.116,-14.837
HadGEM2-CC,0.596,-8.591,6.106,2.374,2.160,-1.277,-2.761,-1.161,-0.159,0.000,-0.001,0.794,0.127,0.230,-0.097,-36.825
HadGEM2-ES,0.635,2.021,4.191,-3.643,-5.646,-4.297,-2.179,-0.952,-0.880,-0.008,-0.004,0.667,-0.039,0.209,-0.101,-29.522
inmcm4,0.882,2.226,4.799,-14.347,-17.584,-7.355,0.925,-1.051,-0.671,-0.004,-0.003,-2.224,-0.901,0.111,-0.147,-41.601
IPSL-CM5A-LR,0.173,0.055,5.920,-10.626,-11.806,-6.306,-0.819,-1.028,-1.509,-0.004,-0.003,3.493,-0.686,0.011,-0.083,-51.937
IPSL-CM5A-MR,0.273,3.075,3.307,-10.287,-11.338,-6.205,1.066,-0.152,-1.276,0.004,-0.005,2.588,-0.687,-0.039,-0.088,-30.237
IPSL-CM5B-LR,0.178,2.075,5.089,-0.137,3.100,1.341,-2.353,-1.180,-0.606,-0.001,-0.001,5.036,0.483,0.178,-0.104,-63.357
MIROC4h,0.407,-2.562,3.651,3.119,6.277,1.990,0.276,1.021,-0.828,-0.005,-0.003,3.171,0.229,-0.077,-0.075,12.175
MIROC5,0.750,-2.513,0.654,-0.226,3.244,1.300,-3.202,-1.108,0.183,-0.010,-0.003,1.500,-0.205,-0.116,0.048,-20.224
MIROC-ESM-CHEM,0.229,-2.501,-6.993,-11.704,-14.606,-1.607,-3.239,-0.725,-0.056,-0.010,-0.003,1.964,-1.293,-0.083,-0.083,-21.611
MIROC-ESM,0.235,-4.357,-4.320,-11.565,-14.480,-1.823,-3.297,-0.598,-0.873,-0.004,-0.000,2.094,-1.262,-0.116,-0.068,-21.153
